,art_title,what_is_known,what_is_added,implications,publication_date
1,"Laboratory-Confirmed COVID-19 Among Adults Hospitalized with COVID-19–Like Illness with Infection-Induced or mRNA Vaccine-Induced SARS-CoV-2 Immunity — Nine States, January–September 2021",Previous infection with SARS-CoV-2 or COVID-19 vaccination can provide immunity and protection against subsequent SARS-CoV-2 infection and illness.,"Among COVID-19–like illness hospitalizations among adults aged ≥18 years whose previous infection or vaccination occurred 90–179 days earlier, the adjusted odds of laboratory-confirmed COVID-19 among unvaccinated adults with previous SARS-CoV-2 infection were 5.49-fold higher than the odds among fully vaccinated recipients of an mRNA COVID-19 vaccine who had no previous documented infection (95% confidence interval = 2.75–10.99).","All eligible persons should be vaccinated against COVID-19 as soon as possible, including unvaccinated persons previously infected with SARS-CoV-2.",29-Oct-21
2,"The Advisory Committee on Immunization Practices’ Interim Recommendations for Additional Primary and Booster Doses of COVID-19 Vaccines — United States, 2021","In the United States, three COVID-19 vaccines are approved or authorized for primary vaccination against COVID-19.",The Advisory Committee on Immunization Practices issued recommendations for an additional primary mRNA COVID-19 vaccine dose for immunocompromised persons and a COVID-19 vaccine booster dose in eligible groups.,"Health care professionals play a critical role in COVID-19 vaccination efforts, including for primary, additional primary, and booster vaccination, particularly to protect patients who are at increased risk for severe illness and death.",29-Oct-21
3,"Severity of Disease Among Adults Hospitalized with Laboratory-Confirmed COVID-19 Before and During the Period of SARS-CoV-2 B.1.617.2 (Delta) Predominance — COVID-NET, 14 States, January–August 2021","The SARS-CoV-2 B.1.617.2 (Delta) variant is highly transmissible; however, whether it causes more severe disease in adults has been uncertain.",Analysis of COVID-NET data from 14 states found no significant increases in the proportion of hospitalized COVID-19 patients with severe outcomes during the Delta period. The proportion of hospitalized unvaccinated COVID-19 patients aged 18–49 years significantly increased during the Delta period.,"Lower vaccination coverage in adults aged 18–49 years likely contributed to the increase in hospitalized patients during the Delta period. COVID-19 vaccination is critical for all eligible adults, including adults aged <50 years who have relatively low vaccination rates compared with older adults.",29-Oct-21
4,"COVID-19 Vaccination and Non–COVID-19 Mortality Risk — Seven Integrated Health Care Organizations, United States, December 14, 2020–July 31, 2021","Although deaths after COVID-19 vaccination have been reported to the Vaccine Adverse Events Reporting System, few studies have been conducted to evaluate mortality not associated with COVID-19 among vaccinated and unvaccinated groups.","During December 2020–July 2021, COVID-19 vaccine recipients had lower rates of non–COVID-19 mortality than did unvaccinated persons after adjusting for age, sex, race and ethnicity, and study site.",There is no increased risk for mortality among COVID-19 vaccine recipients. This finding reinforces the safety profile of currently approved COVID-19 vaccines in the United States. All persons aged ≥12 years should receive a COVID-19 vaccine.,29-Oct-21
5,"Effectiveness of Pfizer-BioNTech mRNA Vaccination Against COVID-19 Hospitalization Among Persons Aged 12–18 Years — United States, June–September 2021","Persons aged 12–18 years are eligible to receive COVID-19 vaccine. Currently, data are lacking on real-world vaccine effectiveness against COVID-19 hospitalization in adolescents.","Among hospitalized U.S. patients aged 12–18 years, vaccine effectiveness of 2 doses of Pfizer-BioNTech vaccine against COVID-19 hospitalization during June–September 2021, was 93% (95% confidence interval = 83%–97%).",This evaluation demonstrated that 2 doses of Pfizer-BioNTech vaccine were highly effective in preventing COVID-19 hospitalization among persons aged 12–18 years. Findings reinforce the importance of vaccination to protect U.S. youths against severe COVID-19.,22-Oct-21
6,"Distribution of SARS-CoV-2 Variants in a Large Integrated Health Care System — California, March–July 2021",The highly transmissible SARS-CoV-2 (B.1.617.2) Delta variant is the predominant variant circulating in the United States.,"During March 4–July 21, 2021, sequencing data from 6,798 SARS-CoV-2–positive specimens were linked to electronic health records among Kaiser Permanente Southern California members. The weekly percentage of all infections attributed to the Delta variant rapidly increased to 95% during this period. Infection with the Delta variant was more common among younger persons and among non-Hispanic Black persons.","These findings reinforce the importance of continued monitoring of SARS-CoV-2 variants and implementing multicomponent COVID-19 prevention strategies, particularly during the current period in which Delta is the predominant circulating variant in the United States.",8-Oct-21
7,"Multicomponent Strategies to Prevent SARS-CoV-2 Transmission — Nine Overnight Youth Summer Camps, United States, June–August 2021",Previous studies have demonstrated the importance of prevention strategies to reduce SARS-CoV-2 transmission in overnight camps.,"During June–August 2021, a total of 7,173 campers and staff members attended nine U.S. overnight camps that implemented multiple prevention strategies including high vaccination coverage (>93% among eligible persons aged ≥12 years); prearrival and frequent screening testing (38,059 tests); and additional concomitant prevention measures. Nine laboratory-confirmed COVID-19 cases and no secondary infections were detected.","Implementation of high vaccination coverage coupled with multiple prevention strategies is critical to averting COVID-19 outbreaks in congregate settings, including overnight camps. These findings highlight important guiding principles for school and youth-based COVID-19 prevention protocols.",8-Oct-21
8,"COVID-19 Outbreaks at Youth Summer Camps — Louisiana, June–July 2021",NA,NA,NA,8-Oct-21
9,"National and State Trends in Anxiety and Depression Severity Scores Among Adults During the COVID-19 Pandemic — United States, 2020–2021",U.S. Census Bureau Household Pulse Survey data indicate that the percentage of U.S. adults with symptoms of anxiety and depressive disorders increased nationwide from August 2020 to February 2021.,"Nationwide, average anxiety severity scores increased 13% from August to December 2020 and then decreased 26.8% from December 2020 to June 2021. Similar increases and decreases occurred in depression severity scores.","Mental health services and resources, including telehealth behavioral services, are critical during the COVID-19 pandemic.",8-Oct-21
10,"Disparities in COVID-19 Vaccination Status, Intent, and Perceived Access for Noninstitutionalized Adults, by Disability Status — National Immunization Survey Adult COVID Module, United States, May 30–June 26, 2021",Persons with disabilities are at increased risk for COVID-19–related illness and death.,"Analysis of the National Immunization Survey Adult COVID Module found that, compared with adults without a disability, those with a disability had a lower likelihood of having received COVID-19 vaccination, despite being less likely to report hesitancy about getting vaccinated. Adults with a disability reported more difficulties obtaining a COVID-19 vaccine than did persons without a disability.",Reducing barriers to scheduling and making vaccination sites more accessible might improve vaccination coverage among persons with disabilities.,1-Oct-21
